humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 22 A 1,W2AA22A1,AA,22,A,1,26,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 22 B 1,W2AA22B1,AA,22,B,1,27,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 22 C 1,W2AA22C1,AA,22,C,1,28,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 22 D 1,W2AA22D1,AA,22,D,1,29,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 23 A 1,W2AA23A1,AA,23,A,1,27,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 23 B 1,W2AA23B1,AA,23,B,1,28,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 23 C 1,W2AA23C1,AA,23,C,1,29,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 23 D 1,W2AA23D1,AA,23,D,1,30,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 24 A 1,W2AA24A1,AA,24,A,1,28,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 24 B 1,W2AA24B1,AA,24,B,1,29,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 24 C 1,W2AA24C1,AA,24,C,1,30,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 24 D 1,W2AA24D1,AA,24,D,1,31,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 25 A 1,W2AA25A1,AA,25,A,1,29,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 25 B 1,W2AA25B1,AA,25,B,1,30,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 25 C 1,W2AA25C1,AA,25,C,1,31,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 25 D 1,W2AA25D1,AA,25,D,1,32,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 26 A 1,W2AA26A1,AA,26,A,1,30,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 26 B 1,W2AA26B1,AA,26,B,1,31,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 26 C 1,W2AA26C1,AA,26,C,1,32,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 26 D 1,W2AA26D1,AA,26,D,1,33,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 27 A 1,W2AA27A1,AA,27,A,1,31,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 27 B 1,W2AA27B1,AA,27,B,1,32,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 27 C 1,W2AA27C1,AA,27,C,1,33,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 27 D 1,W2AA27D1,AA,27,D,1,34,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 28 A 1,W2AA28A1,AA,28,A,1,32,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 28 B 1,W2AA28B1,AA,28,B,1,33,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 28 C 1,W2AA28C1,AA,28,C,1,34,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 28 D 1,W2AA28D1,AA,28,D,1,35,C:\Users\ironman\Desktop\svgtopng\D1.png
